Start(s),0.00079668
Increment(s),5e-08
CH1(V),CH2(V)
1.64,1.58
1.58,1.64
1.64,1.58
1.58,1.64
1.62,1.58
1.58,1.64
1.62,1.58
1.58,1.64
1.62,1.58
1.58,1.62
1.62,1.58
1.58,1.64
1.62,1.58
1.58,1.64
1.62,1.64
1.58,1.56
1.62,1.58
1.58,1.64
1.62,1.58
1.58,1.64
1.62,1.64
1.58,1.58
1.62,1.64
1.58,1.58
1.62,1.62
1.58,1.58
1.62,1.62
1.58,1.58
1.62,1.58
1.58,1.64
1.62,1.58
1.58,1.64
1.62,1.58
1.58,1.64
1.62,1.56
1.58,1.64
1.58,1.58
1.62,1.64
1.62,1.58
1.58,1.64
1.58,1.58
1.62,1.64
1.62,1.58
1.58,1.64
1.62,1.58
1.58,1.64
1.62,1.58
1.58,1.64
1.58,1.58
1.64,1.64
1.62,1.62
1.58,1.56
1.62,1.64
1.58,1.56
1.62,1.58
1.58,1.64
1.62,1.58
1.58,1.62
1.62,1.58
1.58,1.64
1.62,1.58
1.58,1.64
1.62,1.58
1.58,1.62
1.62,1.58
1.58,1.64
1.62,1.58
1.58,1.64
1.6,1.62
1.64,1.56
1.62,1.58
1.58,1.64
1.62,1.58
1.58,1.64
1.62,1.58
1.58,1.64
1.62,1.62
1.58,1.58
1.62,1.58
1.58,1.64
1.62,1.64
1.58,1.58
1.62,1.58
1.58,1.62
1.62,1.58
1.58,1.62
1.62,1.58
1.58,1.64
1.62,1.58
1.58,1.64
1.62,1.58
1.58,1.64
1.62,1.58
1.58,1.64
1.62,1.58
1.58,1.64
1.6,1.58
1.64,1.64
1.62,1.58
1.58,1.64
1.62,1.58
1.58,1.64
1.58,1.58
1.64,1.64
1.6,1.58
1.62,1.64
1.6,1.62
1.64,1.58
1.64,1.58
1.58,1.64
1.64,1.58
1.58,1.64
1.62,1.64
1.6,1.56
1.62,1.58
1.58,1.64
1.62,1.64
-0.18,-1.8
0.24,-1.78
0.98,-1.96
0.86,-1.8
1.24,-1.94
1.24,-1.88
1.42,-1.94
1.4,-1.94
1.48,-1.9
1.48,-1.94
1.4,-1.88
1.44,-1.94
1.4,-1.88
1.42,-1.88
1.36,-1.94
1.42,-1.92
1.34,-1.88
1.36,-1.92
1.3,-1.86
1.32,-1.92
1.26,-1.86
1.28,-1.9
1.24,-1.86
1.26,-1.86
1.2,-1.9
1.22,-1.86
1.16,-1.9
1.2,-1.9
1.14,-1.86
1.16,-1.86
1.1,-1.9
1.12,-1.88
1.06,-1.84
1.1,-1.84
1.04,-1.88
1.06,-1.88
1,-1.82
1.02,-1.88
0.96,-1.82
0.98,-1.82
0.94,-1.88
0.96,-1.86
0.9,-1.82
0.94,-1.86
0.88,-1.82
0.9,-1.86
0.84,-1.82
0.86,-1.82
0.8,-1.86
0.84,-1.86
0.78,-1.8
0.8,-1.86
0.74,-1.8
0.78,-1.84
0.72,-1.8
0.74,-1.84
0.7,-1.8
0.72,-1.84
0.66,-1.78
0.7,-1.8
0.64,-1.84
0.66,-1.84
0.62,-1.78
0.64,-1.78
0.58,-1.82
0.6,-1.78
0.54,-1.82
0.58,-1.82
0.54,-1.78
0.56,-1.82
0.5,-1.78
0.52,-1.78
0.46,-1.82
0.5,-1.82
0.46,-1.76
0.48,-1.82
0.42,-1.76
0.44,-1.8
0.4,-1.76
0.44,-1.8
0.38,-1.76
0.42,-1.8
0.36,-1.76
0.38,-1.76
0.32,-1.8
0.36,-1.8
0.3,-1.74
0.32,-1.8
0.28,-1.74
0.3,-1.8
0.26,-1.74
0.28,-1.8
0.22,-1.74
0.26,-1.74
0.22,-1.8
0.24,-1.78
0.2,-1.74
0.22,-1.78
0.16,-1.72
0.2,-1.74
0.14,-1.78
0.18,-1.74
0.12,-1.78
0.14,-1.78
0.12,-1.72
